                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7606,                 3.7584,                 2.0695,                0.00286,                    0.3,                0.00409,                0.00122,                  2.714,                 4.4629,                 2.7896,                  2e-05,                  2e-05,                  2e-05
                      2,                 1.9403,                  3.921,                 2.1933,                0.00286,                    0.3,                0.00429,                0.00141,                 2.6601,                 4.4515,                 2.7473,             5.9406e-05,             5.9406e-05,             5.9406e-05
                      3,                 1.8314,                 3.3913,                 1.9846,                0.00238,                   0.25,                0.00454,                0.00179,                 2.5882,                 4.4235,                 2.7042,              9.802e-05,              9.802e-05,              9.802e-05
                      4,                 1.8623,                 4.0226,                 2.0981,                0.38583,                0.78553,                 0.6813,                0.39897,                 1.1285,                  14.55,                 1.4491,             0.00013584,             0.00013584,             0.00013584
                      5,                  1.415,                 9.8782,                 1.7813,                0.03077,                   0.05,                  0.005,                0.00227,                 1.3993,                 10.901,                 1.5155,             0.00017287,             0.00017287,             0.00017287
                      6,                 1.1123,                 4.9035,                 1.4253,                0.06772,                    0.5,                0.05722,                0.03713,                 1.3263,                 16.748,                 1.3107,             0.00020911,             0.00020911,             0.00020911
                      7,                 1.1797,                 3.5869,                 1.4531,                0.63636,                    0.7,                0.56128,                0.25007,                  1.721,                 14.442,                 1.5726,             0.00024456,             0.00024456,             0.00024456
                      8,                  1.188,                 2.6365,                 1.4705,                0.17274,                    0.3,                0.15119,                0.11159,                    nan,                    nan,                    nan,             0.00027921,             0.00027921,             0.00027921
                      9,                 1.1356,                 3.2934,                 1.4489,                0.25714,                   0.45,                0.22235,                0.07795,                    nan,                    nan,                    nan,             0.00031307,             0.00031307,             0.00031307
                     10,                0.99397,                 2.6414,                 1.3359,                      1,                    0.2,                0.29134,                0.13861,                    nan,                    nan,                    nan,             0.00034614,             0.00034614,             0.00034614
                     11,                0.94559,                 1.5932,                 1.3419,                0.18695,                   0.35,                0.15641,                0.07129,                    nan,                    nan,                    nan,             0.00037842,             0.00037842,             0.00037842
                     12,                 1.0266,                 1.7957,                  1.352,                    0.4,                    0.2,                0.14522,                0.07709,                    nan,                    nan,                    nan,             0.00040991,             0.00040991,             0.00040991
                     13,                 1.2061,                 1.6107,                 1.4742,                0.00143,                   0.15,                0.00215,                0.00161,                    nan,                    nan,                    nan,              0.0004406,              0.0004406,              0.0004406
                     14,                 1.2699,                 1.6605,                 1.5018,                0.00433,                   0.35,                0.00288,                0.00175,                    nan,                    nan,                    nan,              0.0004705,              0.0004705,              0.0004705
                     15,                 1.0988,                 1.6642,                 1.4014,                0.02521,                   0.15,                0.01015,                 0.0055,                    nan,                    nan,                    nan,             0.00049961,             0.00049961,             0.00049961
                     16,                 1.3485,                 1.7092,                 1.5796,                0.04255,                    0.1,                0.00885,                0.00262,                    nan,                    nan,                    nan,             0.00052793,             0.00052793,             0.00052793
                     17,                  1.423,                 1.8984,                 1.5601,                0.01034,                   0.15,                0.00616,                0.00213,                    nan,                    nan,                    nan,             0.00055546,             0.00055546,             0.00055546
